idmen_care,AHENTSEX,AHENTAGE,AHENTCOH,SCORE_AIDE
376,1.0,22.0,1,2.0
376,2.0,32.0,1,2.0
377,2.0,25.0,1,3.0
377,2.0,21.0,1,3.0
377,2.0,34.0,1,3.0
377,1.0,58.0,1,1.0
377,1.0,31.0,1,0.0
377,2.0,30.0,0,0.0
378,1.0,74.0,1,1.0
378,2.0,63.0,0,2.0
378,1.0,67.0,0,0.0
378,2.0,49.0,0,0.0
383,2.0,61.0,1,0.0
388,2.0,60.0,1,0.0
393,2.0,39.0,0,3.0
396,2.0,64.0,1,1.0
400,2.0,62.0,1,0.0
403,2.0,64.0,1,1.0
407,2.0,35.0,0,1.0
408,1.0,65.0,1,3.0
409,2.0,62.0,1,6.0
411,2.0,58.0,1,0.0
419,2.0,57.0,0,1.0
419,1.0,62.0,1,0.0
419,1.0,49.0,1,0.0
420,1.0,55.0,1,2.0
422,1.0,64.0,1,1.0
422,2.0,41.0,0,2.0
431,2.0,32.0,0,0.0
431,2.0,62.0,1,4.0
446,1.0,26.0,1,0.0
466,1.0,60.0,1,0.0
467,1.0,69.0,1,0.0
474,1.0,57.0,1,4.0
474,2.0,26.0,1,1.0
477,2.0,58.0,1,1.0
486,2.0,83.0,0,0.0
486,1.0,81.0,0,2.0
488,2.0,37.0,0,1.0
495,1.0,73.0,1,2.0
495,2.0,42.0,0,0.0
495,2.0,32.0,0,0.0
495,2.0,27.0,0,0.0
495,2.0,37.0,0,0.0
496,2.0,66.0,1,1.0
497,2.0,80.0,0,2.0
497,1.0,64.0,1,6.0
498,2.0,61.0,0,0.0
499,2.0,57.0,1,0.0
504,1.0,68.0,1,0.0
506,1.0,68.0,1,0.0
511,2.0,36.0,0,0.0
511,1.0,43.0,0,0.0
511,1.0,40.0,0,0.0
511,2.0,28.0,0,0.0
519,1.0,23.0,1,1.0
519,2.0,69.0,0,0.0
519,2.0,50.0,0,0.0
523,2.0,58.0,1,0.0
529,2.0,59.0,1,0.0
535,1.0,58.0,1,2.0
545,1.0,66.0,0,0.0
546,1.0,61.0,0,0.0
555,2.0,33.0,1,2.0
555,2.0,53.0,0,0.0
555,2.0,59.0,0,0.0
556,2.0,57.0,1,3.0
558,2.0,33.0,0,0.0
558,2.0,28.0,0,0.0
559,2.0,56.0,1,0.0
562,1.0,63.0,1,0.0
564,1.0,66.0,1,1.0
566,2.0,63.0,1,0.0
572,2.0,57.0,1,0.0
572,2.0,34.0,0,0.0
576,2.0,31.0,0,0.0
583,2.0,61.0,1,0.0
600,1.0,67.0,1,1.0
601,2.0,60.0,1,0.0
604,1.0,87.0,0,0.0
604,2.0,49.0,0,1.0
608,2.0,59.0,1,0.0
609,1.0,34.0,0,0.0
609,2.0,32.0,0,0.0
609,2.0,40.0,0,0.0
610,2.0,59.0,1,2.0
610,2.0,29.0,0,2.0
613,2.0,62.0,1,0.0
617,2.0,56.0,1,0.0
618,2.0,51.0,1,2.0
619,2.0,23.0,1,2.0
